,company name,location,datum,detail,status rocket,rocket,status mission,dates,times,country,launch_location,long,lat
3727,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-10-22 08:40:00+00:00,Molniya | Molniya-1 n†­12,StatusRetired,450.0 ,Success,1967-10-22,08:40:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3728,RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",1967-10-18 13:30:00+00:00,Tsyklon | Cosmos 183,StatusRetired,450.0 ,Success,1967-10-18,13:30:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3729,RVSN USSR,"Site 31/6, Baikonur Cosmodrome, Kazakhstan",1967-10-16 08:00:00+00:00,Voskhod | Cosmos 182,StatusRetired,450.0 ,Success,1967-10-16,08:00:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3730,OKB-586,"Site 41/15, Baikonur Cosmodrome, Kazakhstan",1967-10-12 14:15:00+00:00,Cosmos-3 (11K65) | VKZ,StatusRetired,450.0 ,Success,1967-10-12,14:15:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3731,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-10-11 11:30:00+00:00,Voskhod | Cosmos 181,StatusRetired,450.0 ,Success,1967-10-11,11:30:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3732,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-10-03 05:00:00+00:00,Molniya | Molniya-1 n†­9,StatusRetired,450.0 ,Success,1967-10-03,05:00:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3733,RVSN USSR,"Site 81/23, Baikonur Cosmodrome, Kazakhstan",1967-09-27 21:11:00+00:00,Proton K/Block D | Zond,StatusRetired,450.0 ,Failure,1967-09-27,21:11:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3734,RVSN USSR,"Site 132/2, Plesetsk Cosmodrome, Russia",1967-09-27 11:00:00+00:00,Cosmos-3M (11K65M) | Zaliv #2,StatusRetired,450.0 ,Failure,1967-09-27,11:00:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3735,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-09-26 10:20:00+00:00,Voskhod | Cosmos 180,StatusRetired,450.0 ,Success,1967-09-26,10:20:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3736,RVSN USSR,"Site 162, Baikonur Cosmodrome, Kazakhstan",1967-09-22 14:05:00+00:00,Tsyklon | Cosmos 179,StatusRetired,450.0 ,Success,1967-09-22,14:05:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3737,US Air Force,"SLC-4W, Vandenberg AFB, California, USA",1967-09-19 18:28:00+00:00,Titan IIIB | OPS 4941,StatusRetired,59.0 ,Success,1967-09-19,18:28:00,USA,"Vandenberg AFB, California, USA",-120.5163949,34.7582101
3738,RVSN USSR,"Site 161/35, Baikonur Cosmodrome, Kazakhstan",1967-09-19 14:45:00+00:00,Tsyklon | Cosmos 178,StatusRetired,450.0 ,Success,1967-09-19,14:45:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3739,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-09-16 06:06:00+00:00,Voskhod | Cosmos 177,StatusRetired,450.0 ,Success,1967-09-16,06:06:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
3740,RVSN USSR,"Site 133/3, Plesetsk Cosmodrome, Russia",1967-09-12 17:00:00+00:00,Cosmos-2I (63SM) | Cosmos 176,StatusRetired,450.0 ,Success,1967-09-12,17:00:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3741,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-09-11 10:30:00+00:00,Voskhod | Cosmos 175,StatusRetired,450.0 ,Success,1967-09-11,10:30:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3742,General Dynamics,"SLC-36B, Cape Canaveral AFS, Florida, USA",1967-09-08 07:57:00+00:00,Atlas-SLV3C Centaur-D | Surveyor 5,StatusRetired,450.0 ,Success,1967-09-08,07:57:00,USA,"Cape Canaveral AFS, Florida, USA",-80.58002750000001,28.4909268
3743,RVSN USSR,"Site 41/1, Plesetsk Cosmodrome, Russia",1967-09-01 10:30:00+00:00,Voskhod | Zenit-2 n†­51,StatusRetired,450.0 ,Failure,1967-09-01,10:30:00,Russia," Plesetsk Cosmodrome, Russia",40.5748408,62.9278549
3744,RVSN USSR,"Site 1/5, Baikonur Cosmodrome, Kazakhstan",1967-08-31 08:00:00+00:00,Molniya | Cosmos 174,StatusRetired,450.0 ,Success,1967-08-31,08:00:00,Kazakhstan," Baikonur Cosmodrome, Kazakhstan",63.30524279999999,45.9645851
